Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time,Model
sweden,1920,1979,Male,100,1,5,1,356.61784642183807,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,2,355.244657053943,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,3,353.02479517162726,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,4,353.3106435028441,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,5,352.32310983207054,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,6,352.3225946700619,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,7,353.48715895193027,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,8,352.8781392394048,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,9,353.8736997864853,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,5,10,351.11894571489114,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,1,356.61784642183807,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,2,355.244657053943,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,3,353.02479517162726,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,4,353.3106435028441,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,5,352.32310983207054,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,6,352.3225946700619,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,7,353.48715895193027,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,8,352.8781392394048,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,9,353.8736997864853,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,4,10,351.11894571489114,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,7,1,356.61784642183807,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,7,2,355.244657053943,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,7,3,353.02479517162726,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,7,4,353.3106435028441,09/03/2023,17:03:23,saturated
sweden,1920,1979,Male,100,1,7,5,352.32310983207054,09/03/2023,17:03:23,saturated
