country,first_year_train,last_year_train,sex,max_age,forecast_horizon,log_score,date,time,model
sweden,1931,1990,Male,100,1,-541.3817944102152,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,2,-545.6960750917966,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,3,-566.2493222400926,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,4,-684.0864411503223,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,5,-645.7236116773964,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,6,-694.8245175618699,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,7,-720.0194535723411,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,8,-748.7859992856348,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,9,-787.76318031326025,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,10,-894.5355888160378,02/12/2023,16:12:33,LC
sweden,1932,1991,Male,100,1,-533.7712558997702,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,2,-552.213994741265,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,3,-668.8731845730489,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,4,-627.3629617787113,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,5,-670.7551282206118,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,6,-694.5630785828275,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,7,-723.7837369282013,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,8,-774.5585664525298,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,9,-892.2509011664911,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,10,-975.9366239518297,02/13/2023,16:13:37,LC
sweden,1933,1992,Male,100,1,-542.2899715606654,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,2,-616.3476497248203,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,3,-576.7007884640175,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,4,-614.0086673074759,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,5,-633.8082380998393,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,6,-658.5613004752854,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,7,-696.3853602813058,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,8,-790.3637731612287,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,9,-853.2055295420286,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,10,-852.0224701934172,02/14/2023,16:14:41,LC
sweden,1934,1993,Male,100,1,-614.3371718539362,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,2,-567.158528092573,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,3,-599.8347961747096,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,4,-618.8674973361271,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,5,-643.7944766499494,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,6,-674.9626659055174,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,7,-767.5048559985588,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,8,-817.5488420193238,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,9,-812.1379338005087,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,10,-812.8537528549773,02/15/2023,16:15:46,LC
sweden,1935,1994,Male,100,1,-533.7072552643401,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,2,-536.2272955510944,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,3,-544.0471918056951,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,4,-566.3217339212921,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,5,-589.6819093041532,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,6,-654.1642596563001,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,7,-690.2581608555315,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,8,-679.788229023957,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,9,-667.9204019215819,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,10,-754.1766734216565,02/16/2023,16:16:50,LC
sweden,1936,1995,Male,100,1,-524.2550082668458,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,2,-535.2159812276291,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,3,-554.8966290232137,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,4,-573.882903492273,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,5,-637.731143008517,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,6,-669.1394294890276,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,7,-664.4590983249152,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,8,-645.93385261826,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,9,-736.6127651066673,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,10,-718.5841083212244,02/17/2023,16:17:54,LC
sweden,1937,1996,Male,100,1,-520.7933329291295,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,2,-536.6611971711807,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,3,-551.5265976420144,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,4,-609.5018295528963,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,5,-637.3950420828,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,6,-634.659996146441,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,7,-614.3290483051776,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,8,-683.4223078858345,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,9,-676.6599622922002,02/18/2023,16:18:58,LC
