Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1920,1979,Male,100,0,0,1,-515.415981371012,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,2,-486.0973709638284,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,3,-544.1811613188605,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,4,-557.0711122537692,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,5,-629.6976021284515,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,6,-532.3815779352972,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,7,-596.6715957773386,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,8,-652.1719121979695,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,9,-607.8108609127302,03/40/2023,15:40:52
sweden,1920,1979,Male,100,0,0,10,-870.8698325567166,03/40/2023,15:40:52
sweden,1921,1980,Male,100,0,0,1,-481.99542304890224,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,2,-531.7526643442704,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,3,-542.7659771104449,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,4,-613.9391032381606,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,5,-516.6556322334044,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,6,-581.346877821654,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,7,-633.9023280020269,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,8,-591.9601926349776,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,9,-840.449061558275,03/41/2023,15:41:55
sweden,1921,1980,Male,100,0,0,10,-750.3322086854041,03/41/2023,15:41:55
sweden,1922,1981,Male,100,0,0,1,-509.5680833360825,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,2,-519.5059953428776,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,3,-584.3613014557571,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,4,-492.0564435813713,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,5,-556.632862710281,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,6,-606.5723544363641,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,7,-569.1481964235751,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,8,-797.8304761942148,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,9,-710.8560699797991,03/42/2023,15:42:59
sweden,1922,1981,Male,100,0,0,10,-744.9277273175994,03/42/2023,15:42:59
sweden,1923,1982,Male,100,0,0,1,-504.28483097019097,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,2,-559.6093208910016,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,3,-472.7305858215488,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,4,-537.1976503374639,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,5,-582.8869731177499,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,6,-552.5113012514774,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,7,-760.8207952468277,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,8,-684.8025071392699,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,9,-711.450109950566,03/44/2023,15:44:04
sweden,1923,1982,Male,100,0,0,10,-773.7955375039352,03/44/2023,15:44:04
sweden,1924,1983,Male,100,0,0,1,-549.6842061823052,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,2,-464.71577023420855,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,3,-528.3691846176994,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,4,-569.1052210219528,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,5,-543.628491286163,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,6,-739.6273067919936,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,7,-661.862467120788,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,8,-688.964389148943,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,9,-745.850372343082,03/45/2023,15:45:08
sweden,1924,1983,Male,100,0,0,10,-753.5002801384426,03/45/2023,15:45:08
sweden,1925,1984,Male,100,0,0,1,-456.08498629191985,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,2,-517.2651275659974,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,3,-551.9819159870099,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,4,-531.7644329628014,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,5,-702.5628104600002,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,6,-629.9181108690445,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,7,-650.5685170561457,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,8,-698.5091465154866,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,9,-708.9780078377936,03/46/2023,15:46:12
sweden,1925,1984,Male,100,0,0,10,-915.5303383865099,03/46/2023,15:46:12
sweden,1926,1985,Male,100,0,0,1,-513.0441481937968,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,2,-547.0948005138409,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,3,-523.184216621922,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,4,-700.8460506523533,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,5,-628.0987418236865,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,6,-646.5821636793344,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,7,-696.899124902767,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,8,-708.0583049091222,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,9,-927.1950278151231,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,10,-890.7506829796398,03/47/2023,15:47:16
sweden,1927,1986,Male,100,0,0,1,-539.0130013913227,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,2,-518.3073319994446,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,3,-690.180787399387,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,4,-614.1135792505985,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,5,-632.5580157226399,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,6,-676.1283936450145,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,7,-686.9002572136192,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,8,-890.0594431548419,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,9,-848.2940225051499,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,10,-922.0983070263226,03/48/2023,15:48:20
sweden,1928,1987,Male,100,0,0,1,-514.2581708647157,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,2,-670.4389017130538,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,3,-592.5150969383823,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,4,-609.8522504153601,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,5,-645.1762317852257,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,6,-661.4811555096459,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,7,-849.1795914669846,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,8,-798.6287333078858,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,9,-860.4498976696044,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,10,-914.1779999970009,03/49/2023,15:49:24
sweden,1929,1988,Male,100,0,0,1,-688.7857126172677,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,2,-601.768957388503,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,3,-619.2460407860292,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,4,-660.9349007216448,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,5,-673.280581974308,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,6,-875.6037996759234,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,7,-835.7044050788986,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,8,-921.4167782345698,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,9,-963.3148360828665,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,10,-995.9089070797542,03/50/2023,15:50:29
sweden,1930,1989,Male,100,0,0,1,-553.0642179266538,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,2,-555.9183092338202,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,3,-556.6438845052868,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,4,-581.0318679807699,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,5,-700.799274772782,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,6,-658.0371171756594,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,7,-707.3631458807661,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,8,-734.710641281347,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,9,-769.1540253335405,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,10,-808.747583473113,03/51/2023,15:51:32
