Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1935,1994,Male,100,1,4,1,753.260520799898,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,2,756.5056420698969,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,3,814.5887455161045,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,4,843.6393193932956,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,5,824.8209044514815,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,6,837.760283510062,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,7,814.7698676138152,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,8,821.5565301373706,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,9,833.2483174612072,11/03/2023,09:37:53
sweden,1935,1994,Male,100,1,4,10,874.7911896985488,11/03/2023,09:37:53
sweden,1933,1992,Male,100,1,5,1,731.6664582165013,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,2,727.1246757305623,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,3,737.3149919944034,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,4,737.8103606305921,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,5,782.5396718415129,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,6,813.4420539091766,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,7,825.9175706144638,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,8,828.0407741164008,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,9,808.8870386905784,11/03/2023,09:38:17
sweden,1933,1992,Male,100,1,5,10,817.5913765355483,11/03/2023,09:38:17
sweden,1934,1993,Male,100,1,6,1,676.1621451317757,11/03/2023,09:38:29
sweden,1934,1993,Male,100,1,6,2,700.526092683406,11/03/2023,09:38:29
sweden,1934,1993,Male,100,1,6,3,760.4662741486843,11/03/2023,09:38:29
sweden,1934,1993,Male,100,1,6,4,887.198941126666,11/03/2023,09:38:29
