country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1931,1990,Male,100,1,1,1,540.5120544430006,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,2,554.7619963443788,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,3,574.0188371395516,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,4,702.9908265151445,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,5,660.9739492895876,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,6,714.8683442926033,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,7,734.0544480015758,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,8,781.3871237925216,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,9,815.5722285063616,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,1,10,956.9384956890108,05/02/2023,01:31:01
sweden,1931,1990,Male,100,1,3,1,417.7074257410993,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,2,422.7959043691284,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,3,439.62600878261094,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,4,465.3043816225589,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,5,459.02133469461234,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,6,478.6646866514883,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,7,482.0402279677143,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,8,482.1142649230522,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,9,491.9218419094522,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,3,10,518.104581267515,05/02/2023,01:31:46
sweden,1931,1990,Male,100,1,2,1,471.626138013752,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,2,504.8010106683737,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,3,532.7885120259588,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,4,607.0549734636702,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,5,588.3399039192209,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,6,645.3161536140078,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,7,667.9494915583675,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,8,706.4727081951183,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,9,720.0463667168603,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,2,10,812.1034016567266,05/02/2023,01:33:34
sweden,1931,1990,Male,100,1,4,1,409.98615524031817,05/02/2023,01:34:43
sweden,1931,1990,Male,100,1,4,2,422.52658997651565,05/02/2023,01:34:43
sweden,1931,1990,Male,100,1,4,3,437.62258465783805,05/02/2023,01:34:43
